Inspection Date,Inspection Type,Repair Description,Parts Used,Stock / Order,Where Ordered,Cost
3-Jan,Oil Change,Standard oil change.,Standard quality oil,Stock,,
5-Jan,Filter Change,Standard air filter change.,Standard quality air filter,Stock,,
7-Jan,Tire Rotation,Standard tire rotation.,Basic equipment,Stock,,
13-Jan,Tire Replacement,Standard truck tire replacement.,4x Truck Tires,Order,Tire Warehouse Co.,699.99
14-Jan,Oil Change,Standard oil change.,Standard quality oil,Stock,,
20-Jan,Filter Change,Standard air filter change.,Standard quality air filter,Stock,,
23-Jan,Tire Rotation,Standard tire rotation.,Basic equipment,Stock,,
25-Jan,Tire Replacement,Standard sedan tire replacement.,4x Sedan Tires,Order,Tire Warehouse Co.,499.99
26-Jan,Oil Change,Standard oil change.,Standard quality oil,Stock,,
27-Jan,Filter Change,Standard air filter change.,Standard quality air filter,Stock,,
30-Jan,Tire Rotation,Standard tire rotation.,Basic equipment,Stock,,
1-Feb,Tire Replacement,Standard sedan tire replacement.,4x Sedan Tires,Order,Tire Warehouse Co.,499.99
2-Feb,Oil Change,Standard oil change.,Standard quality oil,Stock,,
4-Feb,Filter Change,Standard air filter change.,Standard quality air filter,Stock,,
6-Feb,Tire Rotation,Standard tire rotation.,Basic equipment,Stock,,
12-Feb,Tire Replacement,Standard truck tire replacement.,4x Truck Tires,Order,Tire Warehouse Co.,699.99
20-Feb,Oil Change,Standard oil change.,Standard quality oil,Stock,,
23-Feb,Filter Change,Standard air filter change.,Standard quality air filter,Stock,,
2-Mar,Tire Rotation,Standard tire rotation.,Basic equipment,Stock,,
4-Mar,Tire Replacement,Standard truck tire replacement.,4x Truck Tires,Order,Tire Warehouse Co.,699.99
6-Mar,Oil Change,Standard oil change.,Standard quality oil,Stock,,
18-Mar,Filter Change,Standard air filter change.,Standard quality air filter,Stock,,
19-Mar,Tire Rotation,Standard tire rotation.,Basic equipment,Stock,,
20-Mar,Tire Replacement,Standard sedan tire replacement.,4x Sedan Tires,Order,Tire Warehouse Co.,499.99
21-Mar,Oil Change,Standard oil change.,Standard quality oil,Stock,,
23-Mar,Filter Change,Standard air filter change.,Standard quality air filter,Stock,,
2-Apr,Tire Rotation,Standard tire rotation.,Basic equipment,Stock,,
8-Apr,Tire Replacement,Standard sedan tire replacement.,4x Sedan Tires,Order,Tire Warehouse Co.,499.99
9-Apr,Oil Change,Standard oil change.,Standard quality oil,Stock,,
10-Apr,Oil Change,Standard oil change.,Standard quality oil,Stock,,
11-Apr,Filter Change,Standard air filter change.,Standard quality air filter,Stock,,
12-Apr,Tire Rotation,Standard tire rotation.,Basic equipment,Stock,,
14-Apr,Tire Replacement,Standard truck tire replacement.,4x Truck Tires,Order,Tire Warehouse Co.,699.99
16-Apr,Oil Change,Standard oil change.,Standard quality oil,Stock,,
17-Apr,Filter Change,Standard air filter change.,Standard quality air filter,Stock,,
20-Apr,Tire Rotation,Standard tire rotation.,Basic equipment,Stock,,
27-Apr,Tire Replacement,Standard sedan tire replacement.,4x Sedan Tires,Order,Tire Warehouse Co.,499.99
5-May,Oil Change,Standard oil change.,Standard quality oil,Stock,,
10-May,Filter Change,Standard air filter change.,Standard quality air filter,Stock,,
11-May,Tire Rotation,Standard tire rotation.,Basic equipment,Stock,,
13-May,Tire Replacement,Standard SUV tire replacement.,4x SUV Tires,Order,Tire Warehouse Co.,699.99
14-May,Oil Change,Standard oil change.,Standard quality oil,Stock,,
15-May,Filter Change,Standard air filter change.,Standard quality air filter,Stock,,
20-May,Tire Rotation,Standard tire rotation.,Basic equipment,Stock,,
21-May,Tire Replacement,Standard sedan tire replacement.,4x Sedan Tires,Order,Tire Warehouse Co.,499.99
12-Jun,Oil Change,Standard oil change.,Standard quality oil,Stock,,
17-Jun,Filter Change,Standard air filter change.,Standard quality air filter,Stock,,
20-Jun,Tire Rotation,Standard tire rotation.,Basic equipment,Stock,,
21-Jun,Tire Replacement,Standard sedan tire replacement.,4x Sedan Tires,Order,Tire Warehouse Co.,499.99
